llm;plan_id;gt_action_id;gt_action_label;gen_action_id;gen_action_label
mixtral_8x22;P19;A2;The patient attends a geriatric specialist visit;A2;The patient attends a geriatric specialist visit
mixtral_8x22;P19;A1;The patient completes a general health questionnaire;A1;The patient completes a general health questionnaire
mixtral_8x22;P19;;;GEN_NO_MATCH;
mixtral_8x22;P20;A6;Tte patient attends a follow-up visit after four weeks;A6;attends a follow-up visit after four weeks
mixtral_8x22;P20;A5;the patient takes amoxicillin 1 g every 8 hours for 7 days;A5;takes amoxicillin 1 g every 8 hours for 7 days
mixtral_8x22;P20;A4;the patient follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control;A4;follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control
mixtral_8x22;P20;A3;If infection is suspected, therapeutic intervention is initiated;A3;If infection is suspected, therapeutic intervention is initiated
mixtral_8x22;P20;A2;The patient undergoes specimen collection;A2;undergoes specimen collection
mixtral_8x22;P20;A1;The patient completes a wound assessment survey;A1;The patient completes a wound assessment survey
mixtral_8x22;P20;;;GEN_NO_MATCH;
mixtral_8x7;P01;A5;The patient then performs the prescribed exercises daily for four weeks;A5;performs the rehabilitation exercises
mixtral_8x7;P01;A4;The patient receives education on generic home rehabilitation program;A4;receives education on generic home rehabilitation program
mixtral_8x7;P01;A3;the patient completes a clinical questionnaire;A3;the patient completes a clinical questionnaire
mixtral_8x7;P01;A2;One week later, a specialist follow-up visit is performed;A2;a specialist follow-up visit is performed
mixtral_8x7;P01;A1;The patient undergoes surgery procedure;A1;The patient undergoes surgery procedure
mixtral_8x7;P01;;;GEN_NO_MATCH;
mixtral_8x7;P02;A5;The patient receives post-stroke lifestyle education;A5;The patient receives post-stroke lifestyle education
mixtral_8x7;P02;A4;the patient attends attends a cardiology specialist follow-up visit;A4;The patient attends a cardiology specialist follow-up visit
mixtral_8x7;P02;A3;the practitioner is alerted with urgent priority if abnormal values are detected;A3;Practitioner is alerted with urgent priority if abnormal values are detected
mixtral_8x7;P02;A2;vital signs are monitored for ten days;A2;Vital signs are monitored for ten days
mixtral_8x7;P02;A1;The patient completes a post-stroke follow up questionnaire;A1;The patient completes a post-stroke follow up questionnaire
mixtral_8x7;P02;;;GEN_NO_MATCH;
mixtral_8x7;P03;A3;Otherwise, the patient performs a 30-minute walking session.;A3;the patient performs a 30-minute walking session
mixtral_8x7;P03;A2;If the blood glucose level exceeds the prescribed threshold, the practitioner is notified as soon as possible;A2;the practitioner is notified as soon as possible
mixtral_8x7;P03;A1;The patient monitors blood glucose every morning;A1;The patient monitors blood glucose
mixtral_8x7;P03;;;GEN_NO_MATCH;
mixtral_8x7;P04;A4;the practitioner is alerted as urgent;A4;alert practitioner as urgent
mixtral_8x7;P04;A3;If body temperature exceeds 38¡C, a post-surgical infection screening questionnaire is administered;A3;administer post-surgical infection screening questionnaire
mixtral_8x7;P04;A2;Every morning the patient measures body temperature;A2;measure body temperature
mixtral_8x7;P04;A1;Every morning the patient applies the prescribed medication;A1;the patient applies the prescribed medication
mixtral_8x7;P04;;;GEN_NO_MATCH;
mixtral_8x7;P05;A4;fluid management education is provided;A5;fluid management education is provided
mixtral_8x7;P05;A3;a low-sodium diet is recommended;A4;a low-sodium diet is recommended
mixtral_8x7;P05;A2;the patient attends a nephrology specialist visit;A3;the patient attends a nephrology specialist visit
mixtral_8x7;P05;A1;The patient undergoes a urine laboratory examination every three months;A1;The patient undergoes a urine laboratory examination
mixtral_8x7;P05;;;GEN_NO_MATCH;A2 - following the results
mixtral_8x7;P06;A4;The patient subsequently completes a general health questionnaire;A3;The patient subsequently completes a general health questionnaire
mixtral_8x7;P06;A3;monitoring heart rate three times per day;;
mixtral_8x7;P06;A2;the patient performs aerobic exercises three times per day;A2;the patient performs aerobic exercises three times per day while monitoring heart rate
mixtral_8x7;P06;A1;The patient undergoes cardiac rehabilitation therapy;A1;The patient undergoes cardiac rehabilitation therapy
mixtral_8x7;P06;;;GEN_NO_MATCH;
mixtral_8x7;P07;A5;an ECG is performed;A7;an ECG performed
mixtral_8x7;P07;A4;Otherwise, the practitioner is alerted;A6;the practitioner is alerted
mixtral_8x7;P07;A3;vital signs are monitored;A4;vital signs are monitored
mixtral_8x7;P07;A2;if laboratory results are normal, chemotherapy is administered;A3;chemotherapy is administered
mixtral_8x7;P07;A1;Following blood sample collection;A1;following blood sample collection
mixtral_8x7;P07;;;GEN_NO_MATCH;A2 - if laboratory results are normal
;;;;;A5 - otherwise
mixtral_8x7;P08;A5;the patient attends a cardiology follow-up visit;A5;cardiology follow-up visit
mixtral_8x7;P08;A4;the patient completes a clinical questionnaire once a month;A4;clinical questionnaire
mixtral_8x7;P08;A3;the patient performs home exercises once daily;A3;home exercises
mixtral_8x7;P08;A2;the patient begins physiotherapy once a week;A2;patient begins physiotherapy
mixtral_8x7;P08;A1;Following neurological imaging with brain MRI;A1;neurological imaging with brain MRI
mixtral_8x7;P08;;;GEN_NO_MATCH;
mixtral_8x7;P09;A5;The patient receives education on correct inhaler use and daily self-management strategies;A5;The patient receives education on correct inhaler use and daily self-management strategies
mixtral_8x7;P09;A4;Bronchodilator medication is administered as 2Ð4 puffs every 6 hours;A4;Bronchodilator medication is administered
mixtral_8x7;P09;A3;If abnormal findings are detected, the practitioner is alerted as soon as possible;A3;The practitioner is alerted as soon as possible
mixtral_8x7;P09;A2;The patient undergoes SpO2 monitoring;A2;SpO_ monitoring
mixtral_8x7;P09;A1;The patient undergoes respiratory observation;A1;The patient undergoes respiratory observation
mixtral_8x7;P09;;;GEN_NO_MATCH;
mixtral_8x7;P10;A6;The patient receives preoperative education regarding the surgical procedure;A6;receives preoperative education regarding the surgical procedure
mixtral_8x7;P10;A5;The patient then undergoes an anaesthesia consultation;A5;The patient undergoes an anaesthesia consultation
mixtral_8x7;P10;A4;chest X-ray examination;A4;chest X-ray examination
mixtral_8x7;P10;A3;ECG recording;A3;ECG recording
mixtral_8x7;P10;A2;blood sample collection;A2;blood sample collection
mixtral_8x7;P10;A1;The patient completes anamnesis;A1;The patient completes anamnesis
mixtral_8x7;P10;;;GEN_NO_MATCH;
mixtral_8x7;P11;A6;Every six months, the patient attends a cardiology specialist follow-up visit;A6;the patient attends a cardiology specialist follow-up visit
mixtral_8x7;P11;A5;The patient takes ramipril 2.5 mg once daily;A5;takes ramipril 2.5 mg once daily
mixtral_8x7;P11;A4;if it exceeds the high threshold, the emergency team is alerted with stat priority;A4;the emergency team is alerted with stat priority
mixtral_8x7;P11;A3;If blood pressure is between the defined low and high thresholds, the practitioner is alerted urgently;A3;the practitioner is alerted urgently
mixtral_8x7;P11;A2;The patient measures blood pressure;A2;measures blood pressure
mixtral_8x7;P11;A1;The patient completes a general health questionnaire twice a day;A1;The patient completes a general health questionnaire twice a day
mixtral_8x7;P11;;;GEN_NO_MATCH;
mixtral_8x7;P12;A3;routine alerting of the practitioner;A3;Routine alerting of the practitioner
mixtral_8x7;P12;A2;Analgesic treatment is administered;A2;Analgesic treatment is administered
mixtral_8x7;P12;A1;The patient completes a pain assessment survey;A1;The patient completes a pain assessment survey
mixtral_8x7;P12;;;GEN_NO_MATCH;
mixtral_8x7;P13;A3;The patient performs prescribed exercises;A3;The patient performs prescribed exercises
mixtral_8x7;P13;A2;The patient receives medication administration;A2;The patient receives medication administration
mixtral_8x7;P13;A1;The patient attends a monthly rheumatology specialist visit;A1;The patient attends a monthly rheumatology specialist visit
mixtral_8x7;P13;;;GEN_NO_MATCH;
mixtral_8x7;P14;A4;Otherwise, the patient is educated on correct inhaler use;A4;the patient is educated on correct inhaler use
mixtral_8x7;P14;A3;If abnormal respiratory parameters are detected, the practitioner is alerted urgently;A3;the practitioner is alerted urgently
mixtral_8x7;P14;A2;respiratory parameters are monitored for 30 minutes;A2;respiratory parameters are monitored for 30 minutes
mixtral_8x7;P14;A1;The patient completes a general health questionnaire every day;A1;The patient completes a general health questionnaire every day
mixtral_8x7;P14;;;GEN_NO_MATCH;
mixtral_8x7;P15;A5;Otherwise, the patient receives education on home wound care and medication guidelines;A4;the patient receives education on home wound care and medication guidelines
mixtral_8x7;P15;A4;therapeutic intervention is initiated;;
mixtral_8x7;P15;A3;If signs of infection worsen, the clinical team is alerted;A3;the clinical team is alerted and therapeutic intervention is initiated
mixtral_8x7;P15;A2;If an ulcer is detected, the patient attends a general surgery specialist visit;A2;the patient attends a general surgery specialist visit
mixtral_8x7;P15;A1;The patient undergoes wound specimen collection;A1;The patient undergoes wound specimen collection
mixtral_8x7;P15;;;GEN_NO_MATCH;
mixtral_8x7;P16;A4;If oxygen saturation falls below the prescribed threshold, the practitioner is alerted;A4;The practitioner is alerted if oxygen saturation falls below the prescribed threshold
mixtral_8x7;P16;A3;Patient undergoes SpO2 monitoring;A3;SpO_ monitoring is performed
mixtral_8x7;P16;A2;the patient performs the prescribed exercises three times per week;A2;The patient performs the prescribed exercises
mixtral_8x7;P16;A1;The patient attends a respiratory disease specialist visit;A1;The patient attends a respiratory disease specialist visit
mixtral_8x7;P16;;;GEN_NO_MATCH;
mixtral_8x7;P17;A3;A routine notification is issued;A3;A routine notification is issued
mixtral_8x7;P17;A2;Laboratory examinations are performed every month;A2;Laboratory examinations are performed
mixtral_8x7;P17;A1;The patient takes anticoagulant therapy at a dose of 5 mg twice daily;A1;The patient takes anticoagulant therapy at a dose of 5 mg twice daily
mixtral_8x7;P17;;;GEN_NO_MATCH;
mixtral_8x7;P18;A4;a breast biopsy is carried out;A4;a breast biopsy is subsequently carried out
mixtral_8x7;P18;A3;If results require further investigation, a breast examination is performed;A3;a breast examination is performed
mixtral_8x7;P18;A2;breast ultrasound examination;A2;breast ultrasound examination
mixtral_8x7;P18;A1;The patient undergoes mammography;A1;The patient undergoes mammography
mixtral_8x7;P18;;;GEN_NO_MATCH;
mixtral_8x7;P19;A5;the patient follows a protein-rich Mediterranean diet with adequate hydration and soft-textured foods;A7;follows a protein-rich Mediterranean diet
mixtral_8x7;P19;A4;the patient performs the prescribed exercises for 30 minutes;A5;the patient performs the prescribed exercises
mixtral_8x7;P19;A3;the patient receives education on the prescribed care plan;A4;the patient receives education on the prescribed care plan
mixtral_8x7;P19;A2;The patient attends a geriatric specialist visit;A2;attends a geriatric specialist visit
mixtral_8x7;P19;A1;The patient completes a general health questionnaire;A1;The patient completes a general health questionnaire
mixtral_8x7;P19;;;GEN_NO_MATCH;A3 - following the clinical assessment
;;;;;A6 - for 30 minutes
;;;;;A8 - with adequate hydration and soft-textured foods
mixtral_8x7;P20;A6;Tte patient attends a follow-up visit after four weeks;A6;attends a follow-up visit
mixtral_8x7;P20;A5;the patient takes amoxicillin 1 g every 8 hours for 7 days;A5;takes amoxicillin 1 g every 8 hours for 7 days
mixtral_8x7;P20;A4;the patient follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control;A4;follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control
mixtral_8x7;P20;A3;If infection is suspected, therapeutic intervention is initiated;A3;therapeutic intervention is initiated
mixtral_8x7;P20;A2;The patient undergoes specimen collection;A2;undergoes specimen collection
mixtral_8x7;P20;A1;The patient completes a wound assessment survey;A1;The patient completes a wound assessment survey
mixtral_8x7;P20;;;GEN_NO_MATCH;A7 - after four weeks
phi4;P01;A5;The patient then performs the prescribed exercises daily for four weeks;A5;the patient performs the rehabilitation exercises daily for four weeks
phi4;P01;A4;The patient receives education on generic home rehabilitation program;A4;receives education on generic home rehabilitation program
phi4;P01;A3;the patient completes a clinical questionnaire;A3;the patient completes a clinical questionnaire
phi4;P01;A2;One week later, a specialist follow-up visit is performed;A2;a specialist follow-up visit is performed
phi4;P01;A1;The patient undergoes surgery procedure;A1;the patient undergoes surgery procedure
phi4;P01;;;GEN_NO_MATCH;
phi4;P02;A5;The patient receives post-stroke lifestyle education;A5;receives post-stroke lifestyle education
phi4;P02;A4;the patient attends attends a cardiology specialist follow-up visit;A4;the patient attends a cardiology specialist follow-up visit
phi4;P02;A3;the practitioner is alerted with urgent priority if abnormal values are detected;A3;the practitioner is alerted with urgent priority if abnormal values are detected
phi4;P02;A2;vital signs are monitored for ten days;A2;vital signs are monitored for ten days
phi4;P02;A1;The patient completes a post-stroke follow up questionnaire;A1;The patient completes a post-stroke follow up questionnaire.
phi4;P02;;;GEN_NO_MATCH;
phi4;P03;A3;Otherwise, the patient performs a 30-minute walking session.;A3;the patient performs a 30-minute walking session
phi4;P03;A2;If the blood glucose level exceeds the prescribed threshold, the practitioner is notified as soon as possible;A2;the practitioner is notified as soon as possible
phi4;P03;A1;The patient monitors blood glucose every morning;A1;the patient monitors blood glucose every morning
phi4;P03;;;GEN_NO_MATCH;
phi4;P04;A4;the practitioner is alerted as urgent;A4;alerts the practitioner as urgent
phi4;P04;A3;If body temperature exceeds 38¡C, a post-surgical infection screening questionnaire is administered;A3;administers a post-surgical infection screening questionnaire
phi4;P04;A2;Every morning the patient measures body temperature;A2;measures body temperature
phi4;P04;A1;Every morning the patient applies the prescribed medication;A1;applies the prescribed medication
phi4;P04;;;GEN_NO_MATCH;
phi4;P05;A4;fluid management education is provided;A4;fluid management education is provided
phi4;P05;A3;a low-sodium diet is recommended;A3;a low-sodium diet is recommended
phi4;P05;A2;the patient attends a nephrology specialist visit;A2;the patient attends a nephrology specialist visit
phi4;P05;A1;The patient undergoes a urine laboratory examination every three months;A1;the patient undergoes a urine laboratory examination
phi4;P05;;;GEN_NO_MATCH;
phi4;P06;A4;The patient subsequently completes a general health questionnaire;A3;the patient completes a general health questionnaire
phi4;P06;A3;monitoring heart rate three times per day;A2;the patient performs aerobic exercises three times per day while monitoring heart rate
phi4;P06;A2;the patient performs aerobic exercises three times per day;A2;the patient performs aerobic exercises three times per day while monitoring heart rate
phi4;P06;A1;The patient undergoes cardiac rehabilitation therapy;A1;the patient undergoes cardiac rehabilitation therapy
phi4;P06;;;GEN_NO_MATCH;
phi4;P07;A5;an ECG is performed;A6;an ECG performed
phi4;P07;A4;Otherwise, the practitioner is alerted;A5;the practitioner is alerted
phi4;P07;A3;vital signs are monitored;A4;vital signs are monitored
phi4;P07;A2;if laboratory results are normal, chemotherapy is administered;A3;chemotherapy is administered
phi4;P07;A1;Following blood sample collection;A1;blood sample collection
phi4;P07;;;GEN_NO_MATCH;A2 - laboratory results are normal
phi4;P08;A5;the patient attends a cardiology follow-up visit;A5;the patient attends a cardiology follow-up visit
phi4;P08;A4;the patient completes a clinical questionnaire once a month;A4;the patient completes a clinical questionnaire once a month
phi4;P08;A3;the patient performs home exercises once daily;A3;performs home exercises once daily
phi4;P08;A2;the patient begins physiotherapy once a week;A2;the patient begins physiotherapy once a week
phi4;P08;A1;Following neurological imaging with brain MRI;A1;Following neurological imaging with brain MRI
phi4;P08;;;GEN_NO_MATCH;
phi4;P09;A5;The patient receives education on correct inhaler use and daily self-management strategies;A4;the patient receives education on correct inhaler use and daily self-management strategies
phi4;P09;A4;Bronchodilator medication is administered as 2Ð4 puffs every 6 hours;A3;Bronchodilator medication is administered
phi4;P09;A3;If abnormal findings are detected, the practitioner is alerted as soon as possible;A2;the practitioner is alerted as soon as possible
phi4;P09;A2;The patient undergoes SpO2 monitoring;;
phi4;P09;A1;The patient undergoes respiratory observation;A1;the patient undergoes respiratory observation and SpO_ monitoring
phi4;P09;;;GEN_NO_MATCH;
phi4;P10;A6;The patient receives preoperative education regarding the surgical procedure;A6;receives preoperative education regarding the surgical procedure
phi4;P10;A5;The patient then undergoes an anaesthesia consultation;A5;the patient undergoes an anaesthesia consultation
phi4;P10;A4;chest X-ray examination;A4;chest X-ray examination
phi4;P10;A3;ECG recording;A3;ECG recording
phi4;P10;A2;blood sample collection;A2;blood sample collection
phi4;P10;A1;The patient completes anamnesis;A1;the patient completes anamnesis
phi4;P10;;;GEN_NO_MATCH;
phi4;P11;A6;Every six months, the patient attends a cardiology specialist follow-up visit;A6;the patient attends a cardiology specialist follow-up visit
phi4;P11;A5;The patient takes ramipril 2.5 mg once daily;A5;the patient takes ramipril 2.5 mg once daily
phi4;P11;A4;if it exceeds the high threshold, the emergency team is alerted with stat priority;A4;the emergency team is alerted with stat priority
phi4;P11;A3;If blood pressure is between the defined low and high thresholds, the practitioner is alerted urgently;A3;the practitioner is alerted urgently
phi4;P11;A2;The patient measures blood pressure;A2;measures blood pressure
phi4;P11;A1;The patient completes a general health questionnaire twice a day;A1;the patient completes a general health questionnaire twice a day
phi4;P11;;;GEN_NO_MATCH;
phi4;P12;A3;routine alerting of the practitioner;A3;routine alerting of the practitioner
phi4;P12;A2;Analgesic treatment is administered;A2;analgesic treatment is administered
phi4;P12;A1;The patient completes a pain assessment survey;A1;the patient completes a pain assessment survey
phi4;P12;;;GEN_NO_MATCH;
phi4;P13;A3;The patient performs prescribed exercises;A3;performs prescribed exercises
phi4;P13;A2;The patient receives medication administration;A2;receives medication administration
phi4;P13;A1;The patient attends a monthly rheumatology specialist visit;A1;attend a monthly rheumatology specialist visit
phi4;P13;;;GEN_NO_MATCH;
phi4;P14;A4;Otherwise, the patient is educated on correct inhaler use;A4;the patient is educated on correct inhaler use
phi4;P14;A3;If abnormal respiratory parameters are detected, the practitioner is alerted urgently;A3;the practitioner is alerted urgently
phi4;P14;A2;respiratory parameters are monitored for 30 minutes;A2;respiratory parameters are monitored for 30 minutes
phi4;P14;A1;The patient completes a general health questionnaire every day;A1;The patient completes a general health questionnaire every day
phi4;P14;;;GEN_NO_MATCH;
phi4;P15;A5;Otherwise, the patient receives education on home wound care and medication guidelines;A4;the patient receives education on home wound care and medication guidelines
phi4;P15;A4;therapeutic intervention is initiated;;
phi4;P15;A3;If signs of infection worsen, the clinical team is alerted;A3;the clinical team is alerted and therapeutic intervention is initiated
phi4;P15;A2;If an ulcer is detected, the patient attends a general surgery specialist visit;A2;the patient attends a general surgery specialist visit
phi4;P15;A1;The patient undergoes wound specimen collection;A1;the patient undergoes wound specimen collection
phi4;P15;;;GEN_NO_MATCH;
phi4;P16;A4;If oxygen saturation falls below the prescribed threshold, the practitioner is alerted;A3;the practitioner is alerted
phi4;P16;A3;Patient undergoes SpO2 monitoring;;
phi4;P16;A2;the patient performs the prescribed exercises three times per week;A2;the patient performs the prescribed exercises three times per week while undergoing SpO_ monitoring
phi4;P16;A1;The patient attends a respiratory disease specialist visit;A1;The patient attends a respiratory disease specialist visit
phi4;P16;;;GEN_NO_MATCH;
phi4;P17;A3;A routine notification is issued;A3;a routine notification is issued
phi4;P17;A2;Laboratory examinations are performed every month;A2;laboratory examinations are performed every month
phi4;P17;A1;The patient takes anticoagulant therapy at a dose of 5 mg twice daily;A1;The patient takes anticoagulant therapy at a dose of 5 mg twice daily
phi4;P17;;;GEN_NO_MATCH;
phi4;P18;A4;a breast biopsy is carried out;A3;a breast biopsy is subsequently carried out
phi4;P18;A3;If results require further investigation, a breast examination is performed;A2;a breast examination is performed
phi4;P18;A2;breast ultrasound examination;;
phi4;P18;A1;The patient undergoes mammography;A1;the patient undergoes mammography followed by breast ultrasound examination
phi4;P18;;;GEN_NO_MATCH;
phi4;P19;A5;the patient follows a protein-rich Mediterranean diet with adequate hydration and soft-textured foods;A5;follows a protein-rich Mediterranean diet with adequate hydration and soft-textured foods
phi4;P19;A4;the patient performs the prescribed exercises for 30 minutes;A4;the patient performs the prescribed exercises for 30 minutes
phi4;P19;A3;the patient receives education on the prescribed care plan;A3;the patient receives education on the prescribed care plan
phi4;P19;A2;The patient attends a geriatric specialist visit;A2;attends a geriatric specialist visit
phi4;P19;A1;The patient completes a general health questionnaire;A1;the patient completes a general health questionnaire
phi4;P19;;;GEN_NO_MATCH;
phi4;P20;A6;Tte patient attends a follow-up visit after four weeks;A6;attends a follow-up visit
phi4;P20;A5;the patient takes amoxicillin 1 g every 8 hours for 7 days;A5;takes amoxicillin 1 g every 8 hours for 7 days
phi4;P20;A4;the patient follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control;A4;the patient follows a high-protein, micronutrient-dense diet rich in vitamin C and zinc, with optimal hydration and strict glycemic control
phi4;P20;A3;If infection is suspected, therapeutic intervention is initiated;A3;therapeutic intervention is initiated
phi4;P20;A2;The patient undergoes specimen collection;A2;undergoes specimen collection
phi4;P20;A1;The patient completes a wound assessment survey;A1;the patient completes a wound assessment survey
phi4;P20;;;GEN_NO_MATCH;
